"","wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married","experience2"
"266",5.5,11,24,41,"cauc","other","female","office","other","no","yes",576
"267",5,16,4,26,"cauc","south","female","office","other","no","yes",16
"268",7.75,12,24,42,"cauc","other","female","office","other","no","yes",576
"269",5.25,12,45,63,"cauc","other","female","office","other","no","yes",2025
"270",9,12,20,38,"cauc","other","male","office","other","yes","yes",400
"271",9.65,12,38,56,"cauc","other","female","office","other","no","yes",1444
"272",5.21,18,10,34,"cauc","south","male","office","other","no","yes",100
"273",7,11,16,33,"other","other","female","office","other","no","yes",256
"274",12.16,12,32,50,"other","south","female","office","other","no","yes",1024
"275",5.25,16,2,24,"cauc","south","female","office","other","no","no",4
"276",10.32,13,28,47,"cauc","south","female","office","other","no","no",784
"277",3.35,16,3,25,"other","other","male","office","other","no","no",9
"278",7.7,13,8,27,"cauc","other","female","office","other","yes","no",64
"279",9.17,12,44,62,"cauc","other","female","office","manufacturing","no","yes",1936
"280",8.43,12,12,30,"cauc","south","male","office","other","no","yes",144
"281",4,12,8,26,"other","south","male","office","other","no","yes",64
"282",4.13,12,4,22,"cauc","other","female","office","other","no","yes",16
"283",3,12,28,46,"cauc","south","female","office","other","no","yes",784
"284",4.25,13,0,19,"cauc","south","female","office","other","no","no",0
"285",7.53,14,1,21,"cauc","south","male","office","other","no","no",1
"286",10.53,14,12,32,"cauc","other","female","office","manufacturing","no","yes",144
"287",5,12,39,57,"cauc","other","female","office","other","no","yes",1521
"288",15.03,12,24,42,"cauc","other","female","office","other","no","yes",576
"289",11.25,17,32,55,"other","other","female","office","other","no","yes",1024
"290",6.25,16,4,26,"other","other","male","office","other","no","no",16
"291",3.5,12,25,43,"other","other","female","office","other","no","no",625
"292",6.85,12,8,26,"other","other","male","office","other","no","no",64
"293",12.5,13,16,35,"cauc","other","female","office","other","no","yes",256
"294",12,12,5,23,"cauc","south","male","office","other","no","no",25
"295",6,13,31,50,"cauc","other","male","office","other","no","no",961
"296",9.5,12,25,43,"cauc","other","female","office","other","no","no",625
"297",4.1,12,15,33,"cauc","other","female","office","other","no","yes",225
"298",10.43,14,15,35,"cauc","south","female","office","other","no","yes",225
"299",5,12,0,18,"cauc","other","female","office","other","no","no",0
"300",7.69,12,19,37,"cauc","other","male","office","other","no","yes",361
"301",5.5,12,21,39,"other","other","female","office","other","no","no",441
"302",6.4,12,6,24,"cauc","other","female","office","other","no","no",36
"303",12.5,12,14,32,"cauc","other","female","office","other","yes","yes",196
"304",6.25,13,30,49,"cauc","other","female","office","other","no","yes",900
"305",8,12,8,26,"cauc","other","female","office","other","no","no",64
"306",9.6,9,33,48,"cauc","other","male","office","other","yes","no",1089
"307",9.1,13,16,35,"hispanic","other","male","office","other","no","no",256
"308",7.5,12,20,38,"cauc","south","female","office","other","no","no",400
"309",5,13,6,25,"cauc","south","female","office","other","no","yes",36
"310",7,12,10,28,"cauc","other","female","office","other","yes","yes",100
"311",3.55,13,1,20,"cauc","south","female","office","other","no","no",1
"312",8.5,12,2,20,"other","south","male","office","other","no","no",4
"313",4.5,13,0,19,"cauc","south","female","office","other","no","no",0
"314",7.88,16,17,39,"other","other","male","office","other","no","yes",289
"315",5.25,12,8,26,"cauc","other","female","office","other","no","no",64
"316",5,12,4,22,"cauc","south","male","office","other","no","no",16
"317",9.33,12,15,33,"cauc","other","female","office","other","no","no",225
"318",10.5,12,29,47,"cauc","other","female","office","other","no","yes",841
"319",7.5,12,23,41,"other","south","female","office","other","no","yes",529
"320",9.5,12,39,57,"cauc","south","female","office","other","no","yes",1521
"321",9.6,12,14,32,"cauc","south","female","office","other","no","yes",196
"322",5.87,17,6,29,"other","south","female","office","other","no","no",36
"323",11.02,14,12,32,"cauc","south","male","office","other","yes","yes",144
"324",5,12,26,44,"cauc","south","female","office","other","no","no",676
"325",5.62,14,32,52,"cauc","other","female","office","other","no","yes",1024
"326",12.5,15,6,27,"cauc","other","female","office","other","no","yes",36
"327",10.81,12,40,58,"cauc","other","female","office","other","no","yes",1600
"328",5.4,12,18,36,"cauc","other","female","office","manufacturing","no","yes",324
"329",7,11,12,29,"cauc","other","female","office","other","no","no",144
"330",4.59,12,36,54,"cauc","south","female","office","construction","no","yes",1296
"331",6,12,19,37,"cauc","other","female","office","other","no","yes",361
"332",11.71,16,42,64,"cauc","other","female","office","manufacturing","no","no",1764
"333",5.62,13,2,21,"hispanic","other","female","office","other","no","yes",4
"334",5.5,12,33,51,"cauc","other","female","office","other","no","yes",1089
"335",4.85,12,14,32,"cauc","south","female","office","other","no","yes",196
"336",6.75,12,22,40,"cauc","other","male","office","other","no","no",484
"337",4.25,12,20,38,"cauc","other","female","office","other","no","yes",400
"338",5.75,12,15,33,"cauc","other","female","office","other","no","yes",225
"339",3.5,12,35,53,"cauc","other","male","office","other","no","yes",1225
"340",3.35,12,7,25,"cauc","other","female","office","other","no","yes",49
"341",10.62,12,45,63,"cauc","other","female","office","manufacturing","no","no",2025
"342",8,12,9,27,"cauc","other","female","office","other","no","no",81
"343",4.75,12,2,20,"cauc","south","female","office","other","no","yes",4
"344",8.5,17,3,26,"cauc","south","male","office","other","no","no",9
"345",8.85,14,19,39,"other","other","female","office","other","yes","yes",361
"346",8,12,14,32,"cauc","south","female","office","other","no","yes",196
"347",6,4,54,64,"cauc","other","male","services","other","no","yes",2916
"348",7.14,14,17,37,"cauc","other","male","services","other","no","yes",289
"349",3.4,8,29,43,"other","other","female","services","other","no","yes",841
"350",6,15,26,47,"cauc","south","female","services","other","no","no",676
"351",3.75,2,16,24,"hispanic","other","male","services","other","no","no",256
"352",8.89,8,29,43,"other","other","female","services","other","no","no",841
"353",4.35,11,20,37,"cauc","other","female","services","other","no","yes",400
"354",13.1,10,38,54,"other","south","female","services","other","no","yes",1444
"355",4.35,8,37,51,"other","south","female","services","other","no","yes",1369
"356",3.5,9,48,63,"cauc","other","male","services","other","no","no",2304
"357",3.8,12,16,34,"cauc","other","female","services","other","no","no",256
"358",5.26,8,38,52,"cauc","other","female","services","other","no","yes",1444
"359",3.35,14,0,20,"other","other","male","services","other","no","no",0
"360",16.26,12,14,32,"other","other","male","services","other","yes","no",196
"361",4.25,12,2,20,"cauc","other","female","services","other","no","yes",4
"362",4.5,16,21,43,"cauc","other","male","services","other","no","yes",441
"363",8,13,15,34,"cauc","other","female","services","other","no","yes",225
"364",4,16,20,42,"cauc","other","female","services","other","no","no",400
"365",7.96,14,12,32,"cauc","other","female","services","other","no","yes",144
"366",4,12,7,25,"hispanic","south","male","services","other","no","no",49
"367",4.15,11,4,21,"cauc","other","male","services","other","no","yes",16
"368",5.95,13,9,28,"cauc","south","male","services","other","no","yes",81
"369",3.6,12,43,61,"hispanic","south","female","services","other","no","yes",1849
"370",8.75,10,19,35,"cauc","south","male","services","other","no","no",361
"371",3.4,8,49,63,"cauc","other","female","services","other","no","no",2401
"372",4.28,12,38,56,"cauc","other","female","services","other","no","yes",1444
"373",5.35,12,13,31,"cauc","other","female","services","other","no","yes",169
"374",5,12,14,32,"cauc","other","female","services","other","no","yes",196
"375",7.65,12,20,38,"cauc","other","male","services","other","no","no",400
"376",6.94,12,7,25,"cauc","other","female","services","other","no","no",49
"377",7.5,12,9,27,"cauc","other","female","services","manufacturing","yes","yes",81
"378",3.6,12,6,24,"cauc","other","female","services","other","no","no",36
"379",1.75,12,5,23,"cauc","south","female","services","other","no","yes",25
"380",3.45,13,1,20,"other","south","female","services","other","no","no",1
"381",9.63,14,22,42,"cauc","other","male","services","other","yes","yes",484
"382",8.49,12,24,42,"cauc","other","female","services","other","no","yes",576
"383",8.99,12,15,33,"cauc","other","female","services","other","yes","no",225
"384",3.65,11,8,25,"cauc","south","female","services","other","no","yes",64
"385",3.5,11,17,34,"cauc","south","female","services","other","no","yes",289
"386",3.43,12,2,20,"other","south","male","services","other","no","no",4
"387",5.5,12,20,38,"cauc","south","male","services","other","no","yes",400
"388",6.93,12,26,44,"cauc","other","male","services","other","yes","yes",676
"389",3.51,10,37,53,"other","south","female","services","other","no","yes",1369
"390",3.75,12,41,59,"cauc","other","female","services","other","no","no",1681
"391",4.17,12,27,45,"cauc","other","female","services","other","no","yes",729
"392",9.57,12,5,23,"cauc","other","female","services","other","yes","yes",25
"393",14.67,14,16,36,"other","other","male","services","other","no","yes",256
"394",12.5,14,19,39,"cauc","other","female","services","other","no","yes",361
"395",5.5,12,10,28,"cauc","other","male","services","other","no","yes",100
"396",5.15,13,1,20,"cauc","south","male","services","other","yes","no",1
"397",8,12,43,61,"other","other","female","services","other","yes","yes",1849
"398",5.83,13,3,22,"other","other","male","services","other","no","no",9
"399",3.35,12,0,18,"cauc","other","female","services","other","no","no",0
"400",7,12,26,44,"cauc","south","female","services","other","no","yes",676
"401",10,10,25,41,"cauc","other","female","services","other","yes","yes",625
"402",8,12,15,33,"cauc","other","female","services","other","no","yes",225
"403",6.88,14,10,30,"cauc","south","female","services","other","no","no",100
"404",5.55,11,45,62,"cauc","other","female","services","other","yes","no",2025
"405",7.5,11,3,20,"other","other","male","services","other","no","no",9
"406",8.93,8,47,61,"hispanic","other","male","services","other","yes","yes",2209
"407",9,16,6,28,"other","other","female","services","other","no","yes",36
"408",3.5,10,33,49,"cauc","south","female","services","other","no","no",1089
"409",5.77,16,3,25,"cauc","other","male","services","manufacturing","no","no",9
"410",25,14,4,24,"hispanic","other","male","services","other","yes","no",16
"411",6.85,14,34,54,"other","other","male","services","other","yes","yes",1156
"412",6.5,11,39,56,"cauc","south","male","services","other","no","yes",1521
"413",3.75,12,17,35,"cauc","south","female","services","other","no","yes",289
"414",3.5,9,47,62,"cauc","other","male","services","other","yes","yes",2209
"415",4.5,11,2,19,"cauc","other","male","services","other","no","no",4
"416",2.01,13,0,19,"cauc","south","male","services","other","no","no",0
"417",4.17,14,24,44,"cauc","other","female","services","other","no","no",576
"418",13,12,25,43,"other","other","male","services","other","yes","yes",625
"419",3.98,14,6,26,"cauc","other","female","services","other","no","no",36
"420",7.5,12,10,28,"cauc","other","female","services","other","no","no",100
"421",13.12,12,33,51,"other","other","female","services","other","no","yes",1089
"422",4,12,12,30,"cauc","other","male","services","other","no","no",144
"423",3.95,12,9,27,"cauc","south","female","services","other","no","yes",81
"424",13,11,18,35,"cauc","south","male","services","other","yes","yes",324
"425",9,12,10,28,"cauc","other","male","services","other","no","yes",100
"426",4.55,8,45,59,"cauc","south","female","services","other","no","no",2025
"427",9.5,9,46,61,"cauc","other","female","services","other","yes","yes",2116
"428",4.5,7,14,27,"hispanic","south","male","services","other","no","yes",196
"429",8.75,11,36,53,"cauc","other","female","services","other","no","no",1296
"430",10,13,34,53,"cauc","other","male","technical","construction","yes","yes",1156
"431",18,18,15,39,"cauc","other","male","technical","other","no","yes",225
"432",24.98,17,31,54,"cauc","other","male","technical","manufacturing","no","yes",961
"433",12.05,16,6,28,"cauc","other","female","technical","manufacturing","no","no",36
"434",22,14,15,35,"cauc","south","male","technical","other","no","yes",225
"435",8.75,12,30,48,"cauc","other","male","technical","other","no","yes",900
"436",22.2,18,8,32,"cauc","other","male","technical","other","no","yes",64
"437",17.25,18,5,29,"cauc","other","male","technical","manufacturing","no","yes",25
"438",6,17,3,26,"cauc","other","female","technical","other","yes","no",9
"439",8.06,13,17,36,"cauc","south","male","technical","other","no","yes",289
"440",9.24,16,5,27,"other","other","male","technical","manufacturing","yes","yes",25
"441",12,14,10,30,"cauc","other","female","technical","other","no","yes",100
"442",10.61,15,33,54,"cauc","other","female","technical","other","no","no",1089
"443",5.71,18,3,27,"cauc","other","male","technical","other","no","yes",9
"444",10,16,0,18,"cauc","other","female","technical","other","no","no",0
"445",17.5,16,13,35,"other","south","male","technical","other","no","yes",169
"446",15,18,12,36,"cauc","other","male","technical","other","no","yes",144
"447",7.78,16,6,28,"cauc","other","female","technical","other","no","yes",36
"448",7.8,17,7,30,"cauc","other","male","technical","other","no","yes",49
"449",10,16,14,36,"cauc","south","male","technical","other","yes","yes",196
"450",24.98,17,5,28,"cauc","other","female","technical","other","no","no",25
"451",10.28,15,10,31,"cauc","south","female","technical","other","no","yes",100
"452",15,18,11,35,"cauc","other","female","technical","other","no","yes",121
"453",12,17,24,47,"cauc","other","female","technical","other","no","yes",576
"454",10.58,16,9,31,"cauc","other","male","technical","manufacturing","no","no",81
"455",5.85,18,12,36,"cauc","south","male","technical","other","no","yes",144
"456",11.22,18,19,43,"cauc","other","male","technical","other","no","yes",361
"457",8.56,14,14,34,"cauc","other","female","technical","other","no","yes",196
"458",13.89,16,17,39,"cauc","other","female","technical","manufacturing","no","no",289
"459",5.71,18,7,31,"cauc","south","male","technical","other","no","no",49
"460",15.79,18,7,31,"cauc","other","male","technical","other","no","yes",49
"461",7.5,16,22,44,"cauc","other","female","technical","other","no","yes",484
"462",11.25,12,28,46,"cauc","other","female","technical","other","no","yes",784
"463",6.15,16,16,38,"cauc","other","female","technical","other","no","no",256
"464",13.45,16,16,38,"other","south","male","technical","other","no","no",256
"465",6.25,16,7,29,"cauc","other","female","technical","other","no","yes",49
"466",6.5,12,11,29,"cauc","other","female","technical","other","no","no",121
"467",12,12,11,29,"cauc","other","female","technical","other","no","yes",121
"468",8.5,12,16,34,"cauc","other","female","technical","other","no","no",256
"469",8,18,33,57,"cauc","other","male","technical","other","yes","no",1089
"470",5.75,12,21,39,"cauc","south","female","technical","other","no","yes",441
"471",15.73,16,4,26,"cauc","other","male","technical","manufacturing","no","yes",16
"472",9.86,15,13,34,"cauc","other","male","technical","other","no","yes",169
"473",13.51,18,14,38,"cauc","other","male","technical","other","yes","yes",196
"474",5.4,16,10,32,"cauc","other","female","technical","other","no","yes",100
"475",6.25,18,14,38,"cauc","south","male","technical","other","no","yes",196
"476",5.5,16,29,51,"cauc","south","male","technical","other","no","yes",841
"477",5,12,4,22,"hispanic","other","male","technical","other","no","no",16
"478",6.25,18,27,51,"other","other","male","technical","other","no","yes",729
"479",5.75,12,3,21,"cauc","other","male","technical","other","no","yes",9
"480",20.5,16,14,36,"cauc","south","male","technical","other","yes","yes",196
"481",5,14,0,20,"cauc","other","male","technical","construction","no","yes",0
"482",7,18,33,57,"cauc","other","male","technical","other","no","yes",1089
"483",18,16,38,60,"cauc","south","male","technical","other","no","yes",1444
"484",12,18,18,42,"cauc","other","female","technical","other","yes","yes",324
"485",20.4,17,3,26,"cauc","other","male","technical","manufacturing","no","no",9
"486",22.2,18,40,64,"cauc","other","female","technical","other","no","no",1600
"487",16.42,14,19,39,"cauc","other","male","technical","manufacturing","no","no",361
"488",8.63,14,4,24,"cauc","other","female","technical","other","no","no",16
"489",19.38,16,11,33,"cauc","other","female","technical","other","no","yes",121
"490",14,16,16,38,"cauc","other","female","technical","other","no","yes",256
"491",10,14,22,42,"cauc","other","male","technical","other","no","yes",484
"492",15.95,17,13,36,"cauc","other","female","technical","other","yes","no",169
"493",20,16,28,50,"cauc","south","female","technical","other","yes","yes",784
"494",10,16,10,32,"cauc","other","female","technical","other","no","yes",100
"495",24.98,16,5,27,"cauc","south","female","technical","other","no","no",25
"496",11.25,15,5,26,"cauc","other","male","technical","other","no","no",25
"497",22.83,18,37,61,"cauc","other","female","technical","manufacturing","no","no",1369
"498",10.2,17,26,49,"cauc","other","female","technical","other","yes","yes",676
"499",10,16,4,26,"cauc","south","female","technical","other","no","yes",16
"500",14,18,31,55,"cauc","other","female","technical","other","yes","no",961
"501",12.5,17,13,36,"cauc","other","female","technical","other","yes","yes",169
"502",5.79,12,42,60,"cauc","other","female","technical","other","no","yes",1764
"503",24.98,17,18,41,"hispanic","other","male","technical","other","no","yes",324
"504",4.35,12,3,21,"cauc","other","female","technical","other","no","yes",9
"505",11.25,17,10,33,"cauc","other","female","technical","other","no","no",100
"506",6.67,16,10,32,"cauc","other","female","technical","other","yes","no",100
"507",8,16,17,39,"hispanic","other","female","technical","other","no","yes",289
"508",18.16,18,7,31,"cauc","other","male","technical","other","no","yes",49
"509",12,16,14,36,"cauc","other","female","technical","other","no","yes",196
"510",8.89,16,22,44,"cauc","other","female","technical","other","yes","yes",484
"511",9.5,17,14,37,"cauc","other","female","technical","other","no","yes",196
"512",13.65,16,11,33,"cauc","other","male","technical","other","no","yes",121
"513",12,18,23,47,"cauc","other","male","technical","other","yes","yes",529
"514",15,12,39,57,"cauc","other","male","technical","other","yes","yes",1521
"515",12.67,16,15,37,"cauc","other","male","technical","other","no","yes",225
"516",7.38,14,15,35,"hispanic","other","female","technical","other","no","no",225
"517",15.56,16,10,32,"cauc","other","male","technical","other","no","no",100
"518",7.45,12,25,43,"cauc","south","female","technical","other","no","no",625
"519",6.25,14,12,32,"cauc","other","female","technical","other","no","yes",144
"520",6.25,16,7,29,"hispanic","south","female","technical","other","no","yes",49
"521",9.37,17,7,30,"cauc","other","male","technical","other","yes","yes",49
"522",22.5,16,17,39,"cauc","other","male","technical","manufacturing","no","yes",289
"523",7.5,16,10,32,"cauc","other","male","technical","other","yes","yes",100
"524",7,17,2,25,"cauc","south","male","technical","other","no","yes",4
"525",5.75,9,34,49,"other","south","female","technical","other","yes","yes",1156
"526",7.67,15,11,32,"cauc","other","female","technical","other","no","yes",121
"527",12.5,15,10,31,"cauc","other","male","technical","other","no","no",100
"528",16,12,12,30,"cauc","south","male","technical","other","no","yes",144
"529",11.79,16,6,28,"cauc","other","female","technical","other","yes","no",36
"530",11.36,18,5,29,"cauc","other","male","technical","other","no","no",25
"531",6.1,12,33,51,"other","other","female","technical","other","no","yes",1089
"532",23.25,17,25,48,"other","other","female","technical","other","yes","yes",625
"533",19.88,12,13,31,"cauc","south","male","technical","other","yes","yes",169
"534",15.38,16,33,55,"cauc","other","male","technical","manufacturing","no","yes",1089
